Country,CODE,Year,Refugees (incl. refugee-like situations),Asylum-seekers (pending cases),Total Population,latitude,longitude
Algeria,DZA,2017,8,5821,5829,28.033886,1.6596259999999998
Argentina,ARG,2017,370,84,802,-38.416097,-63.616671999999994
Armenia,ARM,2017,14680,12,14692,40.069099,45.038189
Australia,AUS,2017,477,130,607,-25.274398,133.775136
Austria,AUT,2017,43888,3937,47825,47.516231,14.550072
Azerbaijan,AZE,2017,15,0,17,40.143105,47.576927000000005
Belarus,BLR,2017,87,0,87,53.709807,27.953389
Belgium,BEL,2017,9080,1665,10745,50.503887,4.469936
Benin,BEN,2017,7,0,10,9.30769,2.315834
Bolivia,BOL,2017,13,0,13,-16.290154,-63.588653
Bosnia and Herzegovina,BIH,2017,15,13,28,43.915886,17.679076000000002
Brazil,BRA,2017,2905,4522,7427,-14.235004,-51.92528
Bulgaria,BGR,2017,16549,407,16956,42.733883,25.48583
Cameroon,CMR,2017,15,9,24,7.369722,12.354722
Canada,CAN,2017,3095,806,3901,56.130366,-106.34677099999999
Chad,TCD,2017,39,29,68,15.454166,18.732207
Chile,CHL,2017,85,42,127,-35.675146999999996,-71.542969
China,CHN,2017,42,32,74,35.86166,104.195397
Colombia,COL,2017,8,0,12,4.570868,-74.297333
"Congo, Democratic Republic of the",COD,2017,8,20,28,,
Costa Rica,CRI,2017,9,9,18,9.748917,-83.753428
Croatia,HRV,2017,194,77,271,45.1,15.2
Cuba,CUB,2017,43,0,43,21.521757,-77.78116700000001
Cyprus,CYP,2017,5274,1585,12859,35.126413,33.429859
Czech Republic,CZE,2017,365,38,403,49.817492,15.472961999999999
C̫te d'Ivoire,CI,2017,12,9,21,,
Denmark,DNK,2017,19221,285,19506,56.26392,9.501785
Djibouti,DJI,2017,9,0,10,11.825138,42.590275
Ecuador,ECU,2017,39,115,154,-1.8312389999999998,-78.183406
Egypt,EGY,2017,126688,0,126688,26.820553000000004,30.802497999999996
El Salvador,SLV,2017,5,0,5,13.794185,-88.89653
Estonia,EST,2017,151,0,152,58.595271999999994,25.013607
Ethiopia,ETH,2017,9,67,76,9.145,40.489672999999996
Finland,FIN,2017,2370,133,2503,61.92411,25.748151
France,FRA,2017,12520,2394,14914,46.227638,2.213749
Georgia,GEO,2017,445,9,454,42.315407,43.356891999999995
Germany,DEU,2017,496674,70833,567507,51.165690999999995,10.451526
Ghana,GHA,2017,39,150,189,7.946527000000001,-1.0231940000000002
Greece,GRC,2017,13714,9605,23319,39.074208,21.824312
Hungary,HUN,2017,925,108,1033,47.162494,19.503304
Iceland,ISL,2017,58,5,63,64.96305100000001,-19.020835
India,IND,2017,87,17,104,20.593684,78.96288
Indonesia,IDN,2017,35,27,62,-0.789275,113.921327
Iraq,IRQ,2017,247057,0,247057,33.223191,43.679291
Ireland,IRL,2017,718,138,856,53.41291,-8.243889999999999
Italy,ITA,2017,3618,1696,5314,41.87194,12.56738
Japan,JPN,2017,66,0,66,36.204824,138.252924
Jordan,JOR,2017,653031,0,653031,30.585164000000002,36.238414
Kazakhstan,KAZ,2017,17,23,40,48.019573,66.923684
"Korea, South",KOR,2017,1122,68,1190,,
Kuwait,KWT,2017,44,31,75,29.311659999999996,47.481766
Kyrgyzstan,KGZ,2017,69,12,81,41.20438,74.766098
Latvia,LVA,2017,393,0,393,56.879635,24.603189
Lebanon,LBN,2017,992127,8,994383,33.854721000000005,35.862285
Liberia,LBR,2017,7,6,13,6.4280550000000005,-9.429499
Libya,LBY,2017,257,21890,22147,26.3351,17.228331
Liechtenstein,LIE,2017,32,0,33,47.166000000000004,9.555373
Lithuania,LTU,2017,362,52,414,55.169438,23.881275
Luxembourg,LUX,2017,686,225,911,49.815273,6.129583
Macedonia,MKD,2017,15,0,18,,
Malaysia,MYS,2017,372,1937,2309,4.210483999999999,101.97576600000001
Mali,MLI,2017,9,0,9,17.570692,-3.9961660000000006
Malta,MLT,2017,1289,251,1540,35.937496,14.375416
Mauritania,MRT,2017,464,112,576,21.00789,-10.940835
Mexico,MEX,2017,23,0,23,23.634501,-102.552784
Moldova,MDA,2017,204,16,220,47.411631,28.369884999999996
Morocco,MAR,2017,2953,0,2953,31.791702,-7.09262
Netherlands,NLD,2017,30851,668,31519,52.132633,5.291266
New Zealand,NZL,2017,65,0,69,-40.900557,174.88597099999998
Niger,NER,2017,7,0,7,17.607789,8.081666
Nigeria,NGA,2017,154,60,214,9.081999,8.675277000000001
Norway,NOR,2017,11498,17,11515,60.472024,8.468946
Oman,OMN,2017,7,6,13,21.512583,55.923255000000005
Pakistan,PAK,2017,29,0,29,30.375321000000003,69.345116
Paraguay,PRY,2017,53,26,79,-23.442503,-58.44383199999999
Peru,PER,2017,38,0,41,-9.189967,-75.015152
Philippines,PHL,2017,74,40,114,12.879721,121.77401699999999
Poland,POL,2017,512,18,530,51.919438,19.145135999999997
Portugal,PRT,2017,307,0,307,39.399871999999995,-8.224454
Qatar,QAT,2017,34,0,35,25.354826,51.183884
Romania,ROU,2017,2282,167,2449,45.943160999999996,24.96676
Russia,RUS,2017,1130,303,1433,61.52401,105.31875600000001
Saudi Arabia,SAU,2017,14,34,48,23.885942,45.079162
Serbia,SRB,2017,73,0,73,44.016521000000004,21.005859
Slovakia,SVK,2017,17,0,17,48.669026,19.699023999999998
Slovenia,SVN,2017,215,9,224,46.151241,14.995463
Somalia,SOM,2017,172,0,176,5.152149,46.199616
South Africa,ZAF,2017,45,0,45,-30.559482,22.937506
Spain,ESP,2017,11752,2255,14007,40.463667,-3.7492199999999998
Sri Lanka,LKA,2017,14,0,14,7.873054,80.77179699999999
Sudan,SDN,2017,11240,439,11679,12.862807,30.217636
Sweden,SWE,2017,103614,3531,107145,60.128161,18.643501
Switzerland,CHE,2017,13639,3192,16831,46.818188,8.227511999999999
Thailand,THA,2017,327,9,336,15.870032,100.992541
Trinidad and Tobago,TTO,2017,53,32,85,10.691803,-61.222503
Tunisia,TUN,2017,603,0,603,33.886917,9.537499
Turkey,TUR,2017,3424237,163,3424400,38.963745,35.243322
Uganda,UGA,2017,7,12,19,1.373333,32.290275
Ukraine,UKR,2017,483,520,1003,48.379433,31.16558
United Arab Emirates,ARE,2017,128,1185,1313,23.424076,53.847818000000004
United Kingdom,GBR,2017,9100,574,9674,55.378051,-3.435973
United States,USA,2017,7282,3358,10640,37.09024,-95.712891
Uruguay,URY,2017,61,0,62,-32.522779,-55.765834999999996
Yemen,YEM,2017,3286,496,3782,15.552726999999999,48.516388
